| 対照 | 検査 | 期待判定 | 実測判定 | 詳細(実測) |
|---|---|---|---|---|
| 陰性_清浄 | 無契約(C1) | 合 | 合 | 違反件数=0 |
| 陰性_清浄 | 総角連続性(C3) | 合 | 合 | 縫目件数=0 最大差=0.000000 |
| 陰性_清浄 | lap単調性 | 合 | 合 | chatter=0 |
| 陰性_清浄 | r連続性 | 合 | 合 | 跳躍件数=0 |
| 陰性_清浄 | 寛容parser(形式差分) | 0件 | 0件 | [] |
| 陽性_無契約(r=0∧lap≠0区間) | 無契約(C1) | 否 | 否 | 違反区間=[(14, 21, 2)] |
| 陽性_chatter(lap 0/1往復) | lap単調性 | 否 | 否 | chatter=9 lap範囲=[0, 1] |
| 陽性_縫目未補正(lap不動) | 総角連続性(C3) | 否 | 否 | 最大差=6.200000 跳躍=[(2, 5, 6, 6.2)] |
| 陰性_wrap補正済(lap+1) | 総角連続性(C3) | 合 | 合 | 最大差=0.100000 |
| 陽性_r階段(0→0.9瞬時) | r連続性(出現律) | 否 | 否 | 跳躍=[(5, 8, 9, 0.0, 0.9, 0.9)] |
| 陰性_r滑らか(fade-in) | r連続性(出現律) | 合 | 合 | 最大差分=0.0450 |
| 陽性_期待一致(契約通りlap0家0) | 期待値突合 | 合 | 合 | cent誤差=0.0000 θ誤差=0.000000 |
| 陽性_期待不一致(lap誤り) | 期待値突合 | 否 | 否 | 実測lap=1 期待lap=0 cent誤差=1200.0000 |
| 陽性_遅延(無音0.992s→立上り, onset目標1.0s) | 遅延(C9) | 実測遅延を数値化 | 参考(上限契約は文書/環統合.md未記載, 数値申告のみ) | 実測遅延秒=-0.008000000000000007 |
| 陽性_期待一致(自己再読) | 決定論(C16補助) | 合 | 合 | 差分行数=0 |
| 陽性_期待一致 vs 改変版(末尾r相違) | 決定論(C16補助) | 否 | 否 | 差分行数=1 |
| 陽性_形式崩れ(欠落field+異形式混入) | 寛容parser(形式差分) | 差分検出·正常行は継続parse | 3件差分・正常行2件 | L5: 欠落field ['y'] — 'Z ts=1700000000016 x=0.0000 theta=0.000000 r=0.500000 lap=0' / L6: 未知行形式 (Z/#以外) — 'TICK ts=1700000000032 L(x=0.0 y=0.0)' / L7: 未知行形式 (Z/#以外) — 'DEVICE id=GamepadId(0) name="PS5 Controller" connected=true' |
