# 歌口 梯5 起動 ts=1786460531465 源=wav:/Users/pascaldisse/projects/愛無/.scratch/審-梯5-Rahu/docs/adversary/証/Rahu梯5C8/R_lap1.wav 標本率=48000
# 検出param 検出param { 標本率: 48000, 窓長: 2048, 跳幅: 2048, 法: YIN, 下限hz: 80.0, 上限hz: 400.0, YIN谷閾: 0.1, 明瞭閾: 0.9, 無音閾rms: 0.001, 入力Nyquist比: 0.45, 入力帯域上限hz: 800.0 }
# 写像param 写像param { 基音: 220.0, 律: 八家, 家snap: false, 家数: 8, 満音rms: 0.12589254117941673, 明瞭閾: 0.9, 無音閾rms: 0.001, lap下限: -8, lap上限: 8 }
Z ts=1786460531465 x=0.0000 y=0.0000 theta=0.000000 r=0.000000 lap=0 hz=none
# 検出 hz=None 明瞭度=0.000000 rms=0.607666
Z ts=1786460531507 x=1.0000 y=-0.0011 theta=-0.001127 r=1.000000 lap=0 hz=219.972640
# 検出 hz=Some(219.97264030407598) 明瞭度=0.997284 rms=0.707474
Z ts=1786460531550 x=0.9999 y=-0.0152 theta=-0.015201 r=1.000000 lap=0 hz=219.631394
# 検出 hz=Some(219.63139357617985) 明瞭度=0.982535 rms=0.707488
Z ts=1786460531593 x=1.0000 y=0.0006 theta=0.000575 r=1.000000 lap=0 hz=220.013953
# 検出 hz=Some(220.01395264550158) 明瞭度=0.994145 rms=0.705752
Z ts=1786460531635 x=0.9999 y=-0.0154 theta=-0.015377 r=1.000000 lap=0 hz=219.627121
# 検出 hz=Some(219.6271209095762) 明瞭度=0.986650 rms=0.709058
Z ts=1786460531678 x=1.0000 y=-0.0004 theta=-0.000406 r=1.000000 lap=0 hz=219.990156
# 検出 hz=Some(219.99015621651245) 明瞭度=0.989334 rms=0.704458
Z ts=1786460531721 x=0.9999 y=-0.0130 theta=-0.012986 r=1.000000 lap=0 hz=219.685045
# 検出 hz=Some(219.6850449117189) 明瞭度=0.991481 rms=0.709953
Z ts=1786460531763 x=1.0000 y=-0.0038 theta=-0.003834 r=1.000000 lap=0 hz=219.906967
# 検出 hz=Some(219.90696655150234) 明瞭度=0.984487 rms=0.704028
Z ts=1786460531806 x=1.0000 y=-0.0088 theta=-0.008822 r=1.000000 lap=0 hz=219.785985
# 検出 hz=Some(219.78598493729058) 明瞭度=0.995738 rms=0.709876
